,Unnamed: 0,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
0,465,2772 201935,1.55,-0.38,1.16,82.0,33.0,331.0,104.24,Trevor Ariza,2017,2017
2,465,201583 201935,1.31,0.41,1.72,42.0,45.0,130.0,104.22,Ryan Anderson,2017,2017
4,465,203083 203484,-1.57,-2.04,-3.61,465.0,446.0,461.0,104.19,Andre Drummond,2017,2017
6,465,101162 202322,1.78,-1.15,0.63,132.0,21.0,425.0,104.24,Marcin Gortat,2017,2017
8,465,203952 1626157,2.75,-1.61,1.14,86.0,8.0,452.0,104.3,Andrew Wiggins,2017,2017
10,465,202331 1626167,0.77,0.88,1.65,48.0,88.0,70.0,104.19,Paul George,2017,2017
12,465,202694 203484,-1.71,-1.58,-3.29,464.0,452.0,451.0,104.17,Marcus Morris Sr.,2017,2017
14,465,203476 1626157,1.31,-0.27,1.04,91.0,45.0,301.0,104.23,Gorgui Dieng,2017,2017
16,465,202322 202693,0.93,0.48,1.41,71.0,71.0,118.0,104.21,Markieff Morris,2017,2017
18,465,2772 201583,1.08,0.73,1.82,37.0,63.0,84.0,104.19,Ryan Anderson,2017,2017
20,465,201587 202689,0.56,-0.66,-0.1,243.0,115.0,374.0,104.22,Nicolas Batum,2017,2017
22,466,2544 202681,5.09,-1.48,3.6,5.0,1.0,447.0,104.32,Kyrie Irving,2017,2017
24,466,202693 203078,2.45,0.09,2.55,14.0,8.0,195.0,104.22,Bradley Beal,2017,2017
26,465,2546 201584,0.38,-1.69,-1.32,403.0,138.0,452.0,104.22,Carmelo Anthony,2017,2017
28,465,2544 202684,1.61,-1.33,0.28,180.0,34.0,439.0,104.26,LeBron James,2017,2017
30,465,101162 202693,0.23,0.49,0.72,122.0,164.0,117.0,104.21,Markieff Morris,2017,2017
32,465,201566 203500,1.87,-0.97,0.89,108.0,18.0,416.0,104.22,Russell Westbrook,2017,2017
34,465,203476 203952,1.35,-1.22,0.13,203.0,45.0,433.0,104.23,Andrew Wiggins,2017,2017
36,466,202322 203078,3.49,-0.92,2.57,13.0,6.0,410.0,104.26,John Wall,2017,2017
38,465,201937 203952,2.1,-1.0,1.11,88.0,13.0,417.0,104.26,Andrew Wiggins,2017,2017
40,465,202322 203490,1.44,-0.74,0.7,124.0,41.0,385.0,104.24,Otto Porter Jr.,2017,2017
42,466,201566 203460,1.39,0.8,2.19,24.0,43.0,76.0,104.21,Russell Westbrook,2017,2017
44,466,201952 202331,1.92,0.04,1.96,32.0,19.0,213.0,104.22,Jeff Teague,2017,2017
46,465,201937 1626157,1.69,-0.58,1.11,87.0,29.0,356.0,104.26,Karl-Anthony Towns,2017,2017
48,465,201952 1626167,0.87,0.13,1.0,93.0,80.0,191.0,104.19,Jeff Teague,2017,2017
50,466,201939 203110,3.63,1.84,5.47,1.0,3.0,14.0,104.21,Draymond Green,2017,2017
52,465,101162 203490,0.56,-1.01,-0.45,304.0,114.0,418.0,104.23,Otto Porter Jr.,2017,2017
54,466,203078 203490,2.66,-0.87,1.79,37.0,7.0,408.0,104.25,Bradley Beal,2017,2017
56,465,101162 203078,2.28,-1.22,1.06,89.0,11.0,433.0,104.26,Bradley Beal,2017,2017
58,465,202083 203084,-0.32,0.19,-0.13,249.0,286.0,178.0,104.18,Wesley Matthews,2017,2017
60,465,201937 203476,0.67,0.17,0.84,114.0,100.0,179.0,104.21,Gorgui Dieng,2017,2017
62,466,202330 203497,1.14,2.59,3.73,3.0,56.0,1.0,104.16,Rudy Gobert,2017,2017
64,466,200755 201599,1.57,0.4,1.96,30.0,33.0,133.0,104.22,JJ Redick,2017,2017
66,465,203460 203500,0.34,0.01,0.35,169.0,140.0,216.0,104.18,Andre Roberson,2017,2017
68,466,201577 202710,0.83,1.48,2.31,22.0,82.0,24.0,104.16,Robin Lopez,2017,2017
70,465,201152 201952,1.62,-0.42,1.2,78.0,32.0,337.0,104.21,Thaddeus Young,2017,2017
72,466,202691 203110,1.12,2.16,3.28,6.0,56.0,7.0,104.16,Klay Thompson,2017,2017
74,465,202322 202693,0.93,0.48,1.41,71.0,71.0,118.0,104.21,Markieff Morris,2017,2017
76,465,202339 1626164,1.23,-0.32,0.91,106.0,48.0,318.0,104.22,Eric Bledsoe,2017,2017
78,466,203076 203524,-0.13,2.05,1.92,33.0,245.0,10.0,104.11,Anthony Davis,2017,2017
80,465,202689 203077,-0.32,0.92,0.6,135.0,286.0,65.0,104.18,Michael Kidd-Gilchrist,2017,2017
82,466,201939 202691,3.25,1.17,4.43,2.0,6.0,44.0,104.23,Stephen Curry,2017,2017
84,465,202681 202684,1.65,-2.2,-0.55,318.0,33.0,461.0,104.26,Tristan Thompson,2017,2017
86,465,201950 203076,-0.22,1.56,1.34,71.0,266.0,21.0,104.13,Anthony Davis,2017,2017
88,466,201599 201933,2.09,1.15,3.24,7.0,15.0,46.0,104.21,DeAndre Jordan,2017,2017
90,465,101107 202689,0.84,-1.14,-0.29,273.0,83.0,422.0,104.22,Kemba Walker,2017,2017
92,466,203503 203507,-1.6,-0.75,-2.36,449.0,449.0,390.0,104.16,Tony Snell,2017,2017
94,465,203081 203090,1.6,-0.05,1.54,54.0,32.0,233.0,104.22,Damian Lillard,2017,2017
96,465,202694 203083,-1.34,-1.2,-2.54,454.0,436.0,429.0,104.16,Marcus Morris Sr.,2017,2017
98,465,203081 203468,1.44,0.28,1.72,43.0,40.0,151.0,104.21,Damian Lillard,2017,2017
100,465,200746 202695,0.72,0.37,1.09,89.0,95.0,141.0,104.19,Kawhi Leonard,2017,2017
102,465,201609 202355,0.77,0.47,1.24,75.0,86.0,119.0,104.2,Hassan Whiteside,2017,2017
104,465,201152 1626167,0.23,0.41,0.65,127.0,163.0,130.0,104.18,Thaddeus Young,2017,2017
106,466,202738 203109,2.68,-0.02,2.66,13.0,7.0,223.0,104.27,Isaiah Thomas,2017,2017
108,465,202696 203901,0.28,-0.02,0.27,181.0,154.0,223.0,104.18,Elfrid Payton,2017,2017
110,466,101108 201599,2.12,1.18,3.3,7.0,14.0,44.0,104.2,DeAndre Jordan,2017,2017
112,466,201566 203506,2.05,1.22,3.27,7.0,14.0,42.0,104.19,Russell Westbrook,2017,2017
114,465,2730 203471,-1.13,0.59,-0.53,314.0,418.0,100.0,104.12,Dwight Howard,2017,2017
116,465,201143 203109,0.64,0.39,1.03,90.0,105.0,136.0,104.18,Jae Crowder,2017,2017
118,465,201152 202331,1.08,0.42,1.49,61.0,62.0,128.0,104.2,Paul George,2017,2017
120,466,101107 201587,-0.76,-0.78,-1.54,419.0,373.0,395.0,104.21,Marvin Williams,2017,2017
122,465,203090 203468,0.66,0.63,1.3,73.0,100.0,96.0,104.19,CJ McCollum,2017,2017
124,465,101162 202693,0.23,0.49,0.72,122.0,164.0,117.0,104.21,Markieff Morris,2017,2017
126,465,2546 201565,-0.07,-1.1,-1.17,390.0,229.0,422.0,104.2,Carmelo Anthony,2017,2017
128,465,202693 203490,0.17,0.28,0.45,152.0,172.0,152.0,104.19,Otto Porter Jr.,2017,2017
130,465,200794 203471,0.5,-0.78,-0.28,269.0,123.0,393.0,104.19,Paul Millsap,2017,2017
132,465,202699 203484,-0.03,-1.16,-1.19,392.0,217.0,425.0,104.18,Tobias Harris,2017,2017
134,465,201942 202685,-0.56,-0.38,-0.94,364.0,337.0,331.0,104.18,Jonas Valanciunas,2017,2017
136,465,203903 1627742,-0.95,-1.18,-2.12,443.0,401.0,428.0,104.21,Brandon Ingram,2017,2017
138,465,201587 203077,-1.27,0.11,-1.16,388.0,431.0,193.0,104.16,Michael Kidd-Gilchrist,2017,2017
140,465,201599 201601,1.08,0.5,1.58,51.0,62.0,114.0,104.18,Luc Mbah a Moute,2017,2017
142,465,203933 1626164,0.47,-0.56,-0.1,242.0,126.0,356.0,104.21,T.J. Warren,2017,2017
144,466,203500 203506,1.12,1.2,2.32,20.0,59.0,42.0,104.16,Steven Adams,2017,2017
146,465,203095 203901,1.15,0.24,1.39,71.0,55.0,167.0,104.19,Evan Fournier,2017,2017
148,466,201142 202691,2.17,0.52,2.68,13.0,12.0,110.0,104.21,Klay Thompson,2017,2017
150,465,201950 203524,-0.2,1.65,1.46,66.0,260.0,20.0,104.13,Solomon Hill,2017,2017
152,465,201143 202738,1.77,-0.16,1.61,47.0,24.0,266.0,104.23,Al Horford,2017,2017
154,465,200755 201933,1.67,-0.07,1.6,49.0,31.0,235.0,104.23,JJ Redick,2017,2017
156,466,201142 201939,3.12,-0.16,2.96,12.0,6.0,265.0,104.25,Stephen Curry,2017,2017
158,466,203901 203932,1.89,-0.09,1.81,37.0,19.0,239.0,104.19,Elfrid Payton,2017,2017
160,466,101108 201933,2.23,0.73,2.95,11.0,11.0,84.0,104.21,Chris Paul,2017,2017
162,465,201569 201935,1.16,-1.19,-0.03,229.0,56.0,428.0,104.23,James Harden,2017,2017
164,465,203095 203932,0.52,-0.42,0.11,203.0,118.0,338.0,104.18,Aaron Gordon,2017,2017
166,465,203084 203552,-0.53,-0.61,-1.15,386.0,332.0,358.0,104.16,Harrison Barnes,2017,2017
168,465,201567 202681,2.34,-1.67,0.67,125.0,10.0,451.0,104.27,Kevin Love,2017,2017
170,465,203507 203521,-0.54,-0.35,-0.89,359.0,335.0,324.0,104.17,Giannis Antetokounmpo,2017,2017
172,465,203145 203471,-1.44,0.28,-1.17,389.0,443.0,152.0,104.16,Dennis Schroder,2017,2017
174,466,101108 200755,1.95,0.12,2.07,27.0,19.0,193.0,104.22,JJ Redick,2017,2017
176,465,202699 203083,0.37,0.17,0.54,140.0,138.0,180.0,104.17,Andre Drummond,2017,2017
178,465,202696 203095,-0.9,-0.34,-1.24,399.0,395.0,323.0,104.17,Nikola Vucevic,2017,2017
180,465,201144 201188,0.87,0.04,0.91,105.0,77.0,212.0,104.22,Marc Gasol,2017,2017
182,465,201949 204020,1.18,0.29,1.47,65.0,54.0,153.0,104.18,James Johnson,2017,2017
184,465,201565 201584,0.9,-1.58,-0.69,337.0,74.0,451.0,104.23,Derrick Rose,2017,2017
186,466,1626164 1627737,-0.96,-1.54,-2.49,451.0,403.0,448.0,104.22,Marquese Chriss,2017,2017
188,465,203944 1626156,-0.8,-3.63,-4.43,465.0,380.0,466.0,104.22,Julius Randle,2017,2017
190,465,2544 201567,2.95,-1.16,1.79,38.0,6.0,427.0,104.27,LeBron James,2017,2017
192,465,201942 201960,-0.07,-0.5,-0.57,319.0,230.0,352.0,104.19,DeMarre Carroll,2017,2017
194,465,202689 203469,1.41,1.17,2.58,13.0,41.0,44.0,104.18,Kemba Walker,2017,2017
196,466,101107 203077,-1.55,-0.47,-2.02,439.0,446.0,350.0,104.16,Marvin Williams,2017,2017
198,465,200765 202710,0.02,0.21,0.23,189.0,203.0,175.0,104.17,Jimmy Butler,2017,2017
200,465,2772 201569,0.3,-0.59,-0.29,271.0,150.0,357.0,104.2,Trevor Ariza,2017,2017
202,465,202696 203932,0.35,-0.13,0.22,191.0,141.0,257.0,104.17,Aaron Gordon,2017,2017
204,465,203460 203506,0.65,2.23,2.89,11.0,103.0,6.0,104.14,Andre Roberson,2017,2017
206,465,2730 203145,-1.78,0.73,-1.05,382.0,454.0,84.0,104.11,Dwight Howard,2017,2017
208,465,201584 204001,0.83,-0.76,0.07,212.0,83.0,392.0,104.21,Kristaps Porzingis,2017,2017
210,465,201188 203210,0.55,-0.25,0.3,179.0,115.0,296.0,104.21,JaMychal Green,2017,2017
212,465,200755 201601,0.8,-0.07,0.73,120.0,84.0,237.0,104.2,Luc Mbah a Moute,2017,2017
214,465,202397 202699,1.29,0.03,1.32,72.0,48.0,214.0,104.18,Tobias Harris,2017,2017
216,465,2754 201188,0.24,-0.11,0.13,203.0,162.0,249.0,104.19,Marc Gasol,2017,2017
218,465,202694 202699,-0.34,-0.19,-0.53,315.0,290.0,279.0,104.15,Tobias Harris,2017,2017
220,465,202397 203484,-0.42,-1.05,-1.47,411.0,310.0,419.0,104.2,Kentavious Caldwell-Pope,2017,2017
222,465,2546 204001,-0.21,0.17,-0.05,235.0,263.0,180.0,104.17,Carmelo Anthony,2017,2017
224,465,200794 203145,-0.81,-0.24,-1.05,382.0,382.0,293.0,104.18,Paul Millsap,2017,2017
226,465,201567 202684,0.31,-1.39,-1.08,386.0,147.0,444.0,104.22,Tristan Thompson,2017,2017
228,465,203459 203468,0.72,-0.75,-0.03,232.0,92.0,390.0,104.21,CJ McCollum,2017,2017
230,465,201587 203469,0.08,0.62,0.69,123.0,193.0,96.0,104.17,Nicolas Batum,2017,2017
232,465,203897 1626157,0.0,-0.55,-0.55,319.0,210.0,355.0,104.19,Zach LaVine,2017,2017
234,465,200768 201942,0.36,-0.18,0.18,197.0,140.0,273.0,104.19,Kyle Lowry,2017,2017
236,465,2037 101109,-1.13,-1.21,-2.33,448.0,419.0,431.0,104.21,Raymond Felton,2017,2017
238,465,2037 203085,1.16,-1.45,-0.29,273.0,56.0,445.0,104.22,Jamal Crawford,2017,2017
240,465,202738 203935,3.24,-1.74,1.51,57.0,6.0,452.0,104.29,Marcus Smart,2017,2017
242,465,203503 203521,-0.24,-1.21,-1.45,411.0,271.0,432.0,104.19,Matthew Dellavedova,2017,2017
244,465,201960 202685,-1.41,0.06,-1.35,407.0,441.0,207.0,104.15,DeMarre Carroll,2017,2017
246,465,2772 201976,2.02,-0.24,1.78,37.0,18.0,294.0,104.23,Patrick Beverley,2017,2017
248,465,200768 202685,-0.55,1.1,0.54,142.0,336.0,54.0,104.15,Kyle Lowry,2017,2017
250,465,202355 203585,0.2,0.06,0.26,184.0,169.0,207.0,104.18,Rodney McGruder,2017,2017
252,466,2738 201939,3.48,0.63,4.12,3.0,6.0,95.0,104.24,Andre Iguodala,2017,2017
254,465,203081 203459,1.55,-1.34,0.21,192.0,33.0,438.0,104.24,Allen Crabbe,2017,2017
256,465,201935 201976,2.2,-0.53,1.67,46.0,13.0,355.0,104.25,Patrick Beverley,2017,2017
258,466,201142 203110,1.61,0.11,1.71,42.0,32.0,194.0,104.2,Draymond Green,2017,2017
260,465,2738 202691,0.9,0.07,0.97,96.0,73.0,202.0,104.19,Klay Thompson,2017,2017
262,465,202339 203933,0.7,-0.34,0.36,166.0,96.0,321.0,104.21,T.J. Warren,2017,2017
264,465,203897 203952,-0.01,-0.57,-0.58,322.0,212.0,356.0,104.19,Andrew Wiggins,2017,2017
266,465,201566 1627734,-0.54,1.29,0.75,119.0,335.0,34.0,104.15,Domantas Sabonis,2017,2017
268,465,2749 201163,1.32,-1.61,-0.29,273.0,45.0,451.0,104.23,Wilson Chandler,2017,2017
270,465,200746 201980,-1.04,0.97,-0.07,238.0,408.0,59.0,104.11,Danny Green,2017,2017
272,466,203903 1626204,-1.54,-0.8,-2.34,449.0,446.0,398.0,104.17,Larry Nance Jr.,2017,2017
274,465,202340 202738,1.1,0.12,1.21,78.0,59.0,192.0,104.22,Avery Bradley,2017,2017
276,465,201565 204001,0.43,-0.48,-0.05,236.0,133.0,351.0,104.19,Kristaps Porzingis,2017,2017
278,465,2730 200794,-0.86,-0.36,-1.22,397.0,387.0,326.0,104.15,Dwight Howard,2017,2017
280,465,202083 203552,0.12,0.15,0.28,180.0,182.0,184.0,104.19,Wesley Matthews,2017,2017
282,465,201572 1626178,-0.62,1.57,0.95,102.0,347.0,21.0,104.13,Rondae Hollis-Jefferson,2017,2017
